climatebelief	econcern	poli	ambient1	ambient2	source01	ResponseId	consent	activist	envhope	cblame_ind	cblame_gov	cblame_corp	cblame_comm	cvictim_ind	cvictim_gov	cvictim_corp	cvictim_comm	cresponsible_ind	cresponsible_comm	cresponsible_gov	cresponsible_corp	emo_Angry	emo_Worry	emo_Sad	emo_Hope	emo_Guilt	freqthought	freqemo	asp1	asp2	asp3	asch1	asch2	asch3	asu1	asn1	asn2	asn3	asu2	asp4	asu3	asu4	asi1	asi2	asi3	CaseID	Direct	Target	Time	Temperature	Weather	Wildfire	Economy	PoliInaction	IndividualInaction	NotStressed	Overreact	Habitat	School	NewsDocs	Pollution	IceCaps	Plastic	Future	Health	Guilt	Bot	Other	recall_gen	emointense	selfdistr1	active1	denial1	substance1	emosupp1	disengage1	active2	denial2	vent1	instrumental1	substance2	reframe1	sblame1	plan1	emosupp2	disengage2	reframe2	humor1	selfdistr2	accept1	vent2	religion1	instrument2	accept2	plan2	sblame2	religion2	humor2	eco1	eco2	eco3	eco4	gender	Female	race	DELETE	age	educ	zipcode	poliideo	poliparty	venting	selfdistract	emosupport	active	planning	disengagement	substance	selfblame	denial	humor	religion	acceptance	instrumental	reframing	EconPoli	econcernXpoli	ambient3	concernC	asF1	asF2	asF3	distancing1	distancing2	problemfocus	probsocial	minimization
3	7	4.00	6.10	2.25	0	R_3jYGXP2NPOrMkwk	4	5	3	5	5	5	3	3	1	1	4	5	5	5	5	5	5	5	2	3	7	7	6	6	6	7	7	1	6	7	7	2	5	6	7	5	3	3	7	7	0	1	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	I always here about the different weather problems around the world like the melting of the ice caps and the abnormally high temperatures around the world. This really makes me angry when I hear the USA president want to do more harm to our planet then good. Every time I hear people say climate change is not happening it makes me mad and stressed out because it is happening and people don't want to believe it.	5	2	3	1	1	3	1	4	1	4	2	1	4	2	4	3	1	3	1	2	1	4	1	2	2	3	2	1	1	4	4	3	2	male	0	white	0.00	24.00	4	21213	4	4	4.00	2.00	3.00	3.50	3.50	1.00	1.00	2.00	1.00	1.00	1.00	1.50	2.00	3.50	28.00	28.00	7.00	6.63	6.25	2.00	5.00	1.20	1.58	3.50	3.00	2.00
3	4	1.50	2.30	5.25	0	R_eVs7yuCYjvHIhJn	4	3	5	2	3	3	1	3	1	1	4	3	4	5	4	1	3	2	3	1	2	1	4	3	3	2	1	6	3	5	4	3	1	2	3	1	7	5	7	9	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	The only time I have been a bit stressed about climate change is when I heard the President say that its not real. I was shocked that even though there is so much evidence supporting it that he made a comment like this.	4	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	3	2	1	1	3	1	1	1	2	1	2	2	1	female	1	white	0.00	63.00	4	98006	2	1	1.50	1.00	1.00	1.50	1.00	1.00	1.00	1.50	1.00	1.50	1.00	3.00	1.50	1.00	6.00	6.00	7.00	3.33	2.67	4.67	7.00	1.20	1.17	1.25	1.25	4.67
3	5	7.00	5.30	3.00	0	R_3iDvarC6v9EEvDi	4	4	5	4	3	4	3	4	3	3	4	4	4	5	5	3	4	4	3	3	5	5	5	6	5	5	6	2	5	5	5	4	6	5	5	5	3	3	4	11	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	What comes to mind is all the weather changes makes me feel stressed because I know they are because of climate change.	5	3	3	1	1	2	1	3	2	1	3	1	1	2	3	3	1	2	1	2	3	3	4	3	2	3	3	3	1	3	4	3	1	Female	1	White	0.00	42.00	4	32738	7	7	2.00	2.50	2.50	3.00	3.00	1.00	1.00	2.50	1.50	1.00	3.50	2.50	3.00	1.50	35.00	35.00	4.00	5.13	5.25	3.00	3.50	1.40	1.42	3.00	2.88	3.00
3	5	5.00	4.90	5.00	0	R_3Gg3D193hIOfqCX	4	4	6	2	3	5	4	5	5	5	5	5	5	5	5	3	5	5	3	2	6	6	5	5	5	4	7	3	5	4	5	5	4	4	5	5	5	7	7	13	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	I was upset because the temperature has changed for the worse it has gotten way hotter outside to the point where certain things have melted or gotten severely weaker due to the temperature change. I was scared because I know that the temperature is going to increase each year.	6	2	2	2	2	2	2	2	1	1	2	1	2	1	2	4	3	3	1	2	3	2	2	2	2	2	2	2	1	1	3	3	2	Female	1	African American	0.00	27.00	4	78155	5	5	1.50	2.00	3.00	2.00	2.00	2.50	1.50	1.50	1.50	1.00	2.00	2.50	2.00	2.50	25.00	25.00	7.00	4.92	4.83	5.00	6.00	1.60	1.75	2.00	2.25	5.00
3	7	9.00	6.90	1.50	0	R_YSwpHY7xWC8yVZn	4	5	7	3	5	5	3	5	1	1	2	3	3	5	5	5	5	4	5	2	7	7	7	6	7	7	7	1	7	6	5	2	7	7	7	7	2	1	2	15	1	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	"The most stressful experience I have been through concerning climate change was the recent wildfires that occurred here in California. California continues to suffer through many droughts and inhospitable weather conditions and this makes the land vulnerable to wildfires. 

I thought that I needed to get my family together and leave California as soon as possible. I thought that the government needed to do a better job in preventing and quickly extinguishing these fires. 

I felt very scared at the time. I was being informed by the news that many people had either died or completely lost their property. I felt that I could easily be the next one. The whole situation makes me very angry about the consequences of climate change. 

However, I am very hopeful that I will continue to do what I can do educate people and encourage people to change their behaviors. There is no reason for events like this to continue to occur."	7	4	3	1	3	2	1	3	1	4	3	2	2	1	2	2	1	1	2	2	4	4	4	2	1	2	1	4	1	3	3	3	3	Male	0	African American	0.00	33.00	5	94804	9	9	4.00	3.00	2.00	3.00	2.00	1.00	2.50	1.00	1.00	1.50	4.00	2.50	2.50	1.50	63.00	63.00	2.00	6.83	6.67	1.33	2.00	1.40	1.42	2.50	2.38	1.33
3	6	5.00	5.10	3.00	0	R_3J3if1aPwHtXnNH	4	5	5	3	3	3	3	3	3	3	3	5	5	5	5	2	2	2	3	2	3	3	7	6	7	2	4	2	6	5	3	6	5	5	2	7	2	2	6	18	0	2	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	The only time I feel stressed when it comes to climate change is when it deals with the health of our animals. Look at the conditions we give them to live in. The air we ALL have to breathe and the contamination going into our lungs daily. Those would stress anyone out.	4	2	2	1	1	1	1	2	1	1	1	1	2	1	2	1	1	2	2	2	2	2	2	1	2	2	1	1	1	1	4	2	1	I'm a guy.	0	African American	0.00	29.00	5	60609	5	5	1.50	2.00	1.00	2.00	2.00	1.00	1.00	1.00	1.00	1.50	1.50	2.00	1.00	2.00	30.00	30.00	6.00	5.46	4.92	3.33	4.00	1.10	1.25	2.00	1.50	3.33
3	7	1.00	4.80	2.25	0	R_3lsmZpAZsSVcdYs	4	4	3	4	5	5	4	5	5	5	5	5	5	5	5	4	4	5	3	3	5	5	5	5	5	5	4	3	4	7	7	2	5	5	5	5	3	1	6	21	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	I was living in Hackensack NJ when hurricane Sandy hit the greater NYC area and it was a total mess. We had mass power outages and a lot of people lost their lives/home/livelihoods. Flooding inland several miles (to the point that is affected my community). My family had to evacuate to a relatives house in upstate NY. After a week we went home only to be hit with a nor'easter that froze everything and shut down the power again. My wife at the time was six months pregnant at the time. It was very stressful  and I do attribute these weather happenings to climate change.	7	2	3	1	2	2	3	3	1	1	2	1	1	2	3	1	1	1	2	1	3	3	1	2	3	3	3	1	2	2	3	3	1	male	0	white	0.00	43.00	5	27592	1	1	2.00	1.50	1.50	3.00	3.00	2.00	1.50	2.50	1.00	2.00	1.00	3.00	2.00	1.00	7.00	7.00	6.00	6.08	5.17	2.00	4.50	1.80	1.67	3.00	2.38	2.00
3	6	5.00	4.80	3.75	0	R_24uCZT9GIuTbIjl	4	4	6	2	3	4	1	3	1	1	3	2	4	2	2	4	4	4	3	3	5	5	5	6	4	6	3	2	6	6	6	5	4	6	4	4	5	3	6	22	0	2	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	"I once saw a documentary about polar bears in school. I saw images of polar bears struggling to stand, let alone find food, due to the glaciers that kept melting in the Antarctic area. I felt extreme sadness and anger at the situation, because I knew that the majority of these animals' suffering could have been prevented through more thoughtful practices by human infrastructure."	5	4	3	1	1	2	3	3	3	2	2	1	3	2	3	3	3	3	2	2	2	2	2	2	2	2	2	2	1	2	3	2	1	Male	0	Asian	0.00	22.00	5	02144	5	5	2.00	3.00	2.50	3.00	2.50	3.00	1.00	2.00	2.00	1.50	2.00	2.00	2.00	3.00	30.00	30.00	6.00	5.50	5.00	3.33	5.50	1.90	2.08	2.75	2.50	3.33
3	5	8.50	5.00	3.25	0	R_2AHjVnypHoHYXyZ	4	4	3	3	3	3	2	5	2	3	4	4	4	3	3	3	4	2	2	2	3	3	6	6	6	5	3	3	5	6	6	2	5	6	3	5	5	3	6	23	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	This was actually just a couple of weeks ago.  I've lived in North Carolina for a few years now and is the first year that there was no snow and the grass stayed partially green.  It made me sad that I went through most of the winter season with no snow.  It also started to stress me out as I realized that the impact of climate change is already being felt in my area.  I realized how real it was and what it could mean if the trend continues.  It just really brought the subject into focus and made me worry about the planet's future.	6	3	2	1	1	2	1	2	1	2	2	1	2	3	3	2	1	3	1	1	3	2	1	2	1	3	2	1	1	1	3	2	2	Male	0	Caucasian	0.00	44.00	5	28201	8	9	2.00	2.00	2.00	2.00	3.00	1.00	1.00	2.50	1.00	1.00	1.00	2.00	2.00	2.50	42.50	42.50	6.00	5.08	5.17	2.67	5.50	1.30	1.50	2.50	2.25	2.67
3	6	5.50	2.00	5.00	0	R_24NMILZFDqxoxfV	4	4	4	2	3	4	2	5	1	1	5	4	4	4	4	3	3	3	3	2	2	2	1	3	4	3	1	5	1	5	6	4	2	1	3	1	7	4	7	24	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	"The only time I every felt anything close to ""stressed"" was when I was very young and first heard about climate change. I remember a teacher telling the class that the effects would happen in my lifetime and talked about a lot of deaths. I was young, so it scared me. I later came to realize that he was being a little too dramatic for a group our age."	3	1	1	1	1	1	1	2	1	1	2	1	1	1	2	2	1	1	1	1	3	1	1	1	3	2	1	1	1	1	2	1	1	male	0	Caucasian	0.00	37.00	5	72401	5	6	1.00	1.00	1.50	1.50	2.00	1.00	1.00	1.00	1.00	1.00	1.00	3.00	1.50	1.00	33.00	33.00	7.00	4.29	2.58	4.33	7.00	1.00	1.00	1.75	1.63	4.33
3	7	1.00	4.60	2.75	0	R_3PT7kcjzNKRWQeb	4	5	5	3	3	4	2	3	2	2	4	3	3	4	3	2	3	3	2	2	6	4	4	4	4	6	5	4	6	5	6	5	4	4	5	4	1	1	6	26	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	"Watching political debates and the focus on money, from the conservative side, is disheartening. The lack of understanding of science is a serious threat to humanity."	4	2	2	1	1	2	1	3	1	3	2	1	3	1	2	2	1	3	2	2	4	3	1	2	4	3	1	2	2	2	3	1	2	male	0	white	0.00	36.00	5	28214	1	1	3.00	2.00	2.00	2.50	2.50	1.00	1.00	1.00	1.00	2.00	1.50	4.00	2.00	3.00	7.00	7.00	6.00	5.88	4.75	3.33	3.50	1.20	1.50	2.50	2.25	3.33
3	6	2.50	3.70	6.00	0	R_3j2wO6R3Qj87bZz	4	4	3	2	3	4	3	3	2	2	3	2	2	4	4	2	3	3	1	2	2	2	5	6	6	2	1	7	2	6	6	3	3	5	2	5	7	7	7	31	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"I suppose an instance in which I became stressed about climate change was this winter upon returning to my hometown for Christmas. I always loved the snowy winters there and was looking forward to the beauty of winter, but the temperatures were much higher than average in December 2019 and there was not a drop of snow while I was visiting. I don't know if it's because of climate change directly, but it did make me very disheartened."	3	2	1	1	1	2	1	2	1	3	2	1	4	1	1	2	1	3	2	3	3	3	1	2	3	1	1	1	2	1	1	2	1	Female	1	White and Black	0.00	25.00	5	45208	3	2	3.00	2.50	2.00	1.50	1.00	1.00	1.00	1.00	1.00	2.00	1.00	3.00	2.00	3.50	15.00	15.00	7.00	5.04	4.08	5.67	7.00	1.20	1.58	1.25	1.63	5.67
3	7	1.00	5.90	3.00	0	R_bsIitYCg0dHEw8N	4	5	3	4	5	5	3	5	2	3	5	5	5	5	5	4	4	4	3	3	6	6	6	6	6	6	6	2	6	6	6	2	6	5	6	6	6	2	7	34	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"I remember feeling stressed when Hurricane Dorian was hitting the Bahamas. I live in Miami, right on the ocean and it was very stressful to see it as one of the strongest hurricanes ever and wonder if it was going to hit us. I know that climate change is the reason for the storms being stronger, and that's one of the reasons it stresses me out."	5	3	3	1	2	3	1	4	1	1	4	1	2	2	4	4	1	2	1	1	2	2	3	4	1	4	2	3	1	2	4	4	4	female	1	white	0.00	22.00	5	33160	1	1	1.50	2.00	3.50	3.50	4.00	1.00	1.50	2.00	1.00	1.00	3.00	1.50	4.00	2.00	7.00	7.00	7.00	6.46	5.92	2.00	6.50	1.30	1.42	3.75	3.75	2.00
3	6	1.50	5.00	4.50	0	R_AEDjbXi4a2Imyn7	4	4	1	3	3	4	3	4	1	1	4	3	4	4	4	3	4	4	2	4	5	3	4	6	6	5	5	3	4	6	4	5	6	5	5	4	5	5	7	35	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	"About a month ago I started to feel a little stressed because it was quite warm. Warm isn't usually a bad thing, but it was the middle of December and that made it a bit odd. I really enjoy cooler temperatures, so I was sort of thinking about what how I would feel if every day felt like that day. I wouldn't enjoy it. To add to all that, I also started wondering how things will be for my niece and others her age when they get older. I started wondering which animals we would see go extinct in our lifetime or which fruits and vegetables will become hard to grow or non-existent."	4	4	2	1	1	2	2	2	1	2	2	1	1	2	2	2	2	2	3	3	4	3	1	2	3	2	2	1	2	3	2	3	1	Female	1	White	0.00	36.00	5	28513	2	1	2.50	3.50	2.00	2.00	2.00	2.00	1.00	2.00	1.00	2.50	1.00	3.50	2.00	1.50	9.00	9.00	7.00	5.50	5.00	4.33	6.00	1.70	1.67	2.00	2.00	4.33
3	7	1.00	5.90	3.00	0	R_ZDoFYxx0P78Rwdj	4	5	1	5	2	5	5	5	5	5	5	5	5	5	5	3	5	5	1	2	6	5	6	6	7	7	6	2	7	7	7	1	7	6	2	5	7	2	7	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"I remember reading about the UN report on climate change and feeling stressed and hopeless about it. It's something that bothers me a lot, and I struggle to deal with it. I find myself hoping it will be mitigated a lot, but I don't think it will be."	5	2	2	1	2	3	2	3	1	1	2	1	1	2	1	2	4	1	3	4	4	3	1	2	4	2	2	1	3	1	3	1	1	Female	1	White and Native American	0.00	45.00	5	10467	1	1	2.00	3.00	2.50	2.50	1.50	3.00	1.50	2.00	1.00	3.00	1.00	4.00	2.00	1.00	7.00	7.00	7.00	6.54	6.08	1.67	7.00	2.10	1.92	2.00	2.13	1.67
3	7	3.50	6.50	3.25	0	R_YSvkub7qU2nDJUR	4	5	7	5	3	4	3	5	3	3	3	5	5	5	5	2	5	3	3	2	4	3	7	7	7	7	6	1	7	4	7	6	5	6	7	6	5	1	2	38	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	We haven't had snow this winter. this is stressing me out cause its been cold and raining and that brings moods down and people get angry. its also affecting the maple syrup farming	5	2	4	1	1	3	1	4	1	2	2	1	2	3	4	2	2	1	2	3	4	3	4	2	4	4	2	3	1	3	4	4	4	female	1	white	0.00	36.00	5	25526	4	3	2.50	2.50	2.50	4.00	4.00	1.50	1.00	2.50	1.00	1.50	3.50	4.00	2.00	1.50	24.50	24.50	2.00	6.67	6.33	2.67	3.50	1.50	1.50	4.00	3.13	2.67
3	6	1.50	5.10	3.75	0	R_ZsZ2UgX4OqpZb9L	4	4	2	5	5	5	5	5	1	1	5	2	4	5	5	5	5	2	1	3	3	3	6	6	6	3	3	5	5	6	5	3	5	6	5	6	5	2	6	43	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	"I remember I felt so much stress with the climate change because of the situation that had occurred close to where I live that day. I saw what climate change can do around me and I heard it on the news that day about what has happened. I remember feeling desperate to help stop this climate change. I also was feeling helpless and was wanting a solution to it. I remember talking about it to my lover about how people should help and not contribute to climate change because at the moment of this conversation, we were watching the news and seeing what was on the news at the moment created fear in me. I was upset at the world and the people that don't care about the planet and climate change."	5	1	2	1	1	1	2	1	1	4	1	1	1	1	1	2	2	1	1	2	4	4	1	1	4	1	1	1	1	1	4	1	1	female	1	Asian American	0.00	39.00	5	95838	2	1	4.00	1.50	1.50	1.50	1.00	2.00	1.00	1.00	1.00	1.00	1.00	4.00	1.00	1.00	9.00	9.00	6.00	5.58	5.17	3.33	5.50	1.20	1.17	1.25	1.25	3.33
3	6	2.00	4.50	4.50	0	R_0e3JZX8qgqFT3MJ	4	4	4	4	2	3	4	2	4	4	2	4	4	4	2	4	5	4	4	3	2	2	4	5	5	4	5	6	6	5	4	3	3	5	4	4	4	5	6	45	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	"I am a nature lover, which is why I often go to natural places, national parks, mountains, lakes, mountains It has always bothered me and saddened me to see how people throw away rubbish in these places, they are mixed feelings, between anger and sadness."	6	3	2	3	2	4	2	3	3	2	3	1	3	3	4	3	3	3	2	3	3	3	2	1	2	3	2	1	1	3	4	3	2	Female	1	White	0.00	33.00	5	78046	3	1	2.50	3.00	3.50	2.50	3.50	2.50	1.50	2.50	3.00	1.50	1.50	2.50	2.00	3.00	12.00	12.00	6.00	5.25	4.50	4.67	5.00	2.20	2.33	3.00	2.88	4.67
3	7	1.00	4.50	3.50	0	R_2aksv3uDm2Z8auZ	4	4	4	4	4	5	3	5	1	1	5	4	4	5	5	3	4	3	2	2	5	4	5	6	5	5	3	4	6	6	6	2	4	3	5	3	5	3	5	47	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	My family will be moving next year after my husband retires from his job. We were thinking about moving to a coastal city but I'm worried about how climate change will affect us. I'm concerned that the area we're considering might face floods and hurricanes. I don't want to think about the damage and potential loss we might face because it's aggravating and anxiety-provoking.	4	3	2	1	1	1	4	2	1	3	1	1	1	2	3	1	2	1	2	4	3	2	1	1	3	3	2	1	1	2	3	2	1	female	1	white	0.00	38.00	5	85140	1	1	2.50	3.50	1.00	2.00	3.00	3.00	1.00	2.00	1.00	1.50	1.00	3.00	1.00	1.00	7.00	7.00	5.00	5.88	4.75	3.00	5.00	1.70	1.58	2.50	1.75	3.00
3	6	2.50	5.60	3.75	0	R_1rMN4W0cmDAPhAw	4	5	6	3	4	4	4	4	2	2	4	3	4	5	5	4	5	4	3	3	6	6	7	6	7	5	6	5	5	5	6	2	6	6	3	5	2	6	7	48	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	"It is stressing me out to see and feel the climate change in the last 20 years. Right now we have heavy floods in the area close to us. One of the creaks pretty much became a river, and people had to be evacuated. Water took away some of the concrete walls, too. The soil became so soft, trees are unstable and falling over, parts of the area don't have power because of that. There are landslides. The winters are slowly becoming warmer."	6	3	3	1	1	2	1	3	1	2	2	1	2	2	3	2	2	2	1	3	4	2	1	2	3	3	2	1	1	2	3	2	2	Female	1	White	0.00	53.00	5	98166	2	3	2.00	3.00	2.00	3.00	3.00	1.50	1.00	2.00	1.00	1.00	1.00	3.50	2.00	2.00	15.00	15.00	7.00	5.79	5.58	4.33	4.50	1.30	1.42	3.00	2.50	4.33
3	6	4.00	4.30	2.50	0	R_3EMrNC5akciWkM8	4	5	1	4	5	5	2	5	1	1	5	3	3	5	5	2	4	4	1	2	5	3	6	6	6	3	3	1	2	7	5	1	3	7	2	5	6	2	6	49	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"We have been having way more rain than usual for the last couple of years. Its also much warmer than usual-we haven't had a real winter in at least three years. I stay concerned because my yard never dries out. My home is always leaking. I worry about it a bunch. I get mad, but, that doesn't do any good. I try to warn my neighbors, but, they don't believe its happening."	7	2	4	1	1	1	2	4	1	2	1	1	1	1	4	1	1	1	1	1	4	2	1	1	3	4	2	1	1	3	4	2	4	female	1	white	0.00	54.00	5	35016	4	4	2.00	1.50	1.00	4.00	4.00	1.50	1.00	1.50	1.00	1.00	1.00	3.50	1.00	1.00	24.00	24.00	6.00	5.29	4.58	1.33	6.00	1.20	1.17	4.00	2.50	1.33
3	7	5.00	5.30	2.25	0	R_2w0iK6aJGYhjUbZ	4	4	4	3	3	3	3	3	3	3	3	5	5	5	5	2	3	2	2	2	5	2	6	6	6	5	4	1	6	6	4	1	4	6	4	6	5	2	6	51	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	"Sometimes I go hiking or spend some time outdoors performing some other activity. One day when I spent a significant time outdoors last year I realized that the temperature was rising year over year and that it was staying warmer longer and that this was attributable to climate change. I live in an area where it is extremely hot and humid during the summer, so it becoming hotter and staying so longer was bothersome and stressed me out. I came to the realization that climate change was going to have an impact on my ability to spend time outside and enjoy nature. I also realized that climate change was negatively affecting the wildlife including the plants and animals in my area. I experienced a pang of fear and anxiety as I realized that in the future I would not be able to continue my outdoor pursuits the way I have in the past."	7	3	2	1	1	1	2	2	1	1	1	1	1	2	2	1	2	1	1	3	4	1	1	1	4	2	2	1	1	1	3	2	1	Male	0	"Mixed (White, Asian)"	0.00	35.00	6	77375	5	5	1.00	3.00	1.00	2.00	2.00	2.00	1.00	2.00	1.00	1.00	1.00	4.00	1.00	1.00	35.00	35.00	6.00	6.13	5.25	1.33	5.50	1.40	1.33	2.00	1.50	1.33
3	7	1.00	5.40	3.50	0	R_30wVlHvAZi12aLR	4	5	6	5	5	5	5	5	1	1	3	5	5	5	5	4	4	4	3	2	5	5	4	6	4	6	4	4	6	6	6	2	7	6	7	4	6	2	7	53	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"Ive always wanted to retire along the coast in the Carolinas, or Georgia, or Florida... estimates paint a bleak outlook for that possibility"	5	3	3	1	1	4	4	1	4	4	1	1	1	2	3	1	1	1	1	1	1	2	1	1	1	3	2	1	1	2	3	3	2	male	0	White	0.00	40.00	6	67401	1	1	3.00	2.00	2.50	2.00	3.00	2.50	1.00	2.00	2.50	1.00	1.00	1.00	1.00	1.00	7.00	7.00	7.00	6.25	5.50	2.67	6.50	1.80	1.67	2.50	2.13	2.67
3	7	1.50	4.70	3.50	0	R_2wH5ig4gHayrrj2	4	4	6	3	4	4	3	5	3	4	5	3	4	4	4	4	5	4	3	3	4	3	5	3	5	6	5	5	6	6	5	4	5	3	5	4	3	2	2	54	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	I felt stressed about climate when we are having many more droughts than we used to. In the area I live we go very long periods of time without any rain and this never used to occur before. I believe it can be in part due to climate change and this upsets me. Our lake is drying up and the ecosystem is changing because of this and it's really sad to see.	5	2	2	1	1	1	2	2	1	1	1	1	2	2	2	1	2	2	1	2	3	2	1	1	3	2	1	1	1	1	3	2	1	Male	0	White	0.00	28.00	6	89005	2	1	1.50	2.00	1.00	2.00	2.00	2.00	1.00	1.50	1.00	1.00	1.00	3.00	1.00	2.00	10.50	10.50	2.00	5.92	4.83	3.67	2.50	1.30	1.42	2.00	1.50	3.67
3	5	3.00	5.30	4.50	0	R_3JqGvAN2xopasRa	4	4	3	2	4	4	3	2	4	4	2	2	2	4	4	3	4	4	1	2	5	2	6	5	5	5	5	3	6	6	6	2	6	5	5	5	7	6	7	56	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	I remember seeing the ice caps melting and polar bears struggling to stay alive.	5	2	2	1	1	2	1	2	1	1	2	1	2	1	2	2	1	2	3	2	4	2	2	2	2	2	1	1	3	1	2	2	1	female	1	white	0.00	27.00	6	72016	3	3	1.50	2.00	2.00	2.00	2.00	1.00	1.00	1.00	1.00	3.00	1.50	3.00	2.00	2.00	15.00	15.00	7.00	5.21	5.42	3.67	7.00	1.40	1.50	2.00	2.00	3.67
3	6	2.00	4.90	5.50	0	R_yC5lccCzmHMkbOF	4	1	5	4	3	4	3	4	3	3	4	4	3	4	3	4	3	4	3	2	2	3	6	5	6	4	6	6	4	5	6	6	4	4	5	5	4	6	4	57	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	awhile ago I came across something on facebook regarding climate change and global warning i freaked out because i thought it meant the world is coming to an end it was being talked about all the time how peopel are contributing to global warning an how we can avoid it or make it less worsesome	6	3	1	2	2	1	2	3	2	2	3	1	2	2	3	2	2	2	3	2	2	3	2	2	3	3	2	2	3	1	2	2	3	female	1	african american	0.00	32.00	6	39773	2	2	2.50	2.50	1.50	2.00	3.00	2.00	1.50	2.00	2.00	3.00	2.00	2.50	2.50	2.00	12.00	12.00	4.00	5.50	5.00	6.00	4.00	2.10	2.08	2.50	2.25	6.00
3	7	1.50	6.60	2.75	0	R_AAKG3DKBKxoqFlD	4	5	5	3	4	4	2	4	2	2	4	5	5	5	5	5	5	5	5	5	5	5	6	7	7	7	5	2	7	7	7	1	7	7	7	6	5	3	7	59	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"We had a freak incident last year with a group of tornadoes. My area is usually safe from this, but because of cold air cutting down from the north, where it used to be blocked by ice (which has melted) it caused this weird climate that brought the tornadoes. It devastated my community, thousands of people were affected, lost homes and businesses, and many people lost their lives. It was terrible and very scary."	7	3	3	1	1	1	1	3	1	1	1	1	1	2	3	1	1	1	2	1	4	1	1	1	1	4	2	1	2	2	4	1	2	Female	1	Latina	0.00	29.00	6	45410	1	2	1.00	2.00	1.00	3.00	3.50	1.00	1.00	2.00	1.00	2.00	1.00	2.50	1.00	1.00	10.50	10.50	7.00	6.83	6.67	2.00	6.00	1.40	1.33	3.25	2.13	2.00
3	7	2.00	6.00	2.00	0	R_ODUMHa62qy2X3R7	4	5	2	3	5	5	4	4	1	1	3	5	5	5	5	5	5	5	1	4	5	5	7	6	6	5	5	1	7	7	7	1	6	5	7	6	5	1	7	60	0	2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	"When I saw a video about walruses falling into the sea because they were running out of land to sit on it greatly affected me. Seeing all this news about wildfires and odd weather makes me realize that climate change is already taking a great toll on our planet. This fills me with great sadness and I desperately want to do something about, especially to save the innocent creatures who had no hand in causing this destruction."	7	3	2	1	1	2	3	2	1	2	1	1	1	1	2	1	2	1	1	4	3	2	1	1	1	2	1	1	1	2	2	1	2	Female	1	White	0.00	43.00	6	50703	2	2	2.00	3.50	1.50	2.00	2.00	2.50	1.00	1.00	1.00	1.00	1.00	2.00	1.00	1.00	14.00	14.00	7.00	6.58	6.17	1.00	6.00	1.30	1.25	2.00	1.63	1.00
